source,external_id,lat,lon,species
legacy_api,924,-33.3944833,-70.550446,
legacy_api,925,-33.394444,-70.5515487,
legacy_api,926,-33.3944281,-70.551616,
legacy_api,927,-33.3941439,-70.5518411,
legacy_api,928,-33.3941771,-70.5515553,
legacy_api,929,-33.3937622,-70.5517149,
legacy_api,930,-33.3936881,-70.55184,
legacy_api,931,-33.3937093,-70.5517591,
legacy_api,932,-33.393794,-70.5518924,
legacy_api,933,-33.3943693,-70.5517656,
legacy_api,934,-33.3937311,-70.5518947,
legacy_api,935,-33.393633,-70.5518204,
legacy_api,936,-33.3936434,-70.5519672,
legacy_api,937,-33.3936778,-70.5518991,
legacy_api,938,-33.3934509,-70.551886,
legacy_api,939,-33.3935334,-70.5518938,
legacy_api,940,-33.3932865,-70.5520318,
legacy_api,941,-33.3929644,-70.5519027,
legacy_api,946,-33.4002109,-70.5558509,
legacy_api,947,-33.3999989,-70.5559225,
legacy_api,958,-33.400347876165036,-70.55545548099711,
legacy_api,959,-33.4004193,-70.5558642,
legacy_api,960,-33.4004321,-70.5557082,
legacy_api,961,-33.399852,-70.5559879,
legacy_api,962,-33.3999098,-70.5559574,
legacy_api,963,-33.3998443,-70.5559132,
legacy_api,964,-33.3992954,-70.5563238,
legacy_api,965,-33.3991494,-70.5566401,
legacy_api,966,-33.399068,-70.5560674,
legacy_api,967,-33.3990329,-70.5559043,
legacy_api,968,-33.3989194,-70.5560018,
legacy_api,969,-33.3987957,-70.5559275,
legacy_api,977,-33.4164013,-70.5571652,
legacy_api,978,-33.4164116,-70.5569755,
legacy_api,979,-33.4159542,-70.5598006,
legacy_api,980,-33.4139016,-70.5596494,
legacy_api,981,-33.4139817,-70.5582281,
legacy_api,989,-33.39718172665141,-70.56735861536247,
legacy_api,991,-33.3943496,-70.5503999,
legacy_api,993,-33.39809987375963,-70.5645718683103,
legacy_api,994,-33.39736248665014,-70.56294129127045,
legacy_api,995,-33.39701262093342,-70.56207898469015,
legacy_api,1000,-33.3994154,-70.5547417,
legacy_api,1001,-33.3993734,-70.554669,
legacy_api,1002,-33.3994355,-70.5540838,
legacy_api,1003,-33.39942183839299,-70.55429269772183,
legacy_api,1004,-33.3994644,-70.553865,
legacy_api,1005,-33.3994192,-70.553523,
legacy_api,1006,-33.399754,-70.5536207,
legacy_api,1007,-33.3999854,-70.5534908,
legacy_api,1008,-33.3992464,-70.5534829,
legacy_api,1009,-33.3993488,-70.5534394,
legacy_api,1010,-33.3941233,-70.5515309,
legacy_api,1011,-33.4012464,-70.5547443,
legacy_api,1012,-33.3947375,-70.550614,
legacy_api,1013,-33.3945408,-70.5505699,
legacy_api,1014,-33.3939812,-70.5516869,
legacy_api,1015,-33.3936612,-70.5519893,
legacy_api,1016,-33.3927465,-70.5519981,
legacy_api,1019,-33.40385894654783,-70.56889944684185,
legacy_api,1020,-33.40420491996538,-70.56881826377527,
legacy_api,1021,-33.404084540972974,-70.56888258462422,
legacy_api,1022,-33.40432518997087,-70.56876127963045,
legacy_api,1023,-33.40467910453035,-70.56857897300799,
legacy_api,1024,-33.40460259776117,-70.56862169844358,
legacy_api,1025,-33.404741500320085,-70.56780383001424,
legacy_api,1026,-33.4047484,-70.5675939,
legacy_api,1027,-33.40455193678792,-70.5673800501692,
legacy_api,1028,-33.40469695467526,-70.56783312399814,
legacy_api,1029,-33.40436160910836,-70.56696851337117,
legacy_api,1030,-33.404460279065226,-70.56704357812815,
legacy_api,1031,-33.4042309,-70.5665615,
legacy_api,1032,-33.40408503195663,-70.56637731405557,
legacy_api,1033,-33.40403765664754,-70.56616931716451,
legacy_api,1034,-33.40392013271054,-70.56604175963764,
