instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-27-n72,72,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,29.8,1,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.04,0.002,0.005,0.031,119.969,0.001
area-27-n72,72,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,29.8,2,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.04,0.002,0.005,0.027,119.975,0.0
area-27-n72,72,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,29.8,3,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.03,0.002,0.005,0.021,119.97,0.0
area-27-n72,72,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,29.8,4,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.04,0.002,0.006,0.019,119.982,0.0
area-27-n72,72,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,29.8,5,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.04,0.002,0.005,0.02,119.981,0.0
area-29-n43,43,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.003,0.005,0.008,93.995,0.0
area-29-n43,43,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.002,0.009,93.99,0.0
area-29-n43,43,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.003,0.002,0.009,93.991,0.0
area-29-n43,43,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,27.6,4,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.002,0.009,93.991,0.0
area-29-n43,43,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,27.6,5,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.003,0.002,0.009,93.993,0.0
reference-n1607,1607,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,44.1,1,25,0,0,62650,0.755,637,8122,10423,10758,21,0.474,68.68,0.245,0.946,0.714,35594,30823,31827,9360,123.49,0.749,2.235,3.432,116.574,0.007
reference-n1607,1607,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,44.1,2,25,0,0,64945,0.816,507,8775,10499,10758,27,0.632,98.24,0.252,0.955,0.714,37889,30823,34122,9480,123.44,0.728,2.224,3.612,116.421,0.007
reference-n1607,1607,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,44.1,3,25,0,0,61788,0.726,669,7781,10461,10725,24,0.44,66.8,0.243,0.943,0.714,34732,30823,30965,10440,123.43,0.75,2.203,3.363,116.652,0.007
reference-n1607,1607,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,44.1,4,25,0,0,62264,0.807,583,8667,10471,10739,23,0.574,95.0,0.244,0.945,0.714,35208,30823,31441,8160,123.35,0.698,2.184,3.559,116.448,0.008
reference-n1607,1607,config,feasible-floor-b095-stops10,spatial_term,feasible-floor-b095-stops10,0,3,1000,,0,False,0.0,44.1,5,25,0,0,61987,0.828,580,8921,10422,10771,16,0.386,135.32,0.243,0.944,0.714,34931,30823,31164,7680,123.4,0.762,2.164,3.464,116.543,0.007
