instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n100,100,exemptions,exempt-none,spatial_term,exempt-none,10000,midpoint,0,3,10000,,8,,,0,0,False,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3847,0.993,1.0,28,7895,7924,7952,3,4,0.017,3.0,0.243,0.734,0.556,1387,2601,1246,2400,120.04,0.003,0.007,0.022,119.977,0.0,0.0
battery-n50,50,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,7,1,,0,0,False,0.0,112.6,1,,,,,1,1,per-start,105,2,0,1,1,2414,0.014,1.0,4087,120,4207,8294,2,0,0.0,0.0,0.287,0.39,0.278,390,1975,439,8400,105.06,0.001,0.004,0.009,104.99,0.0,0.0
battery-n50,50,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,7,1,,0,0,False,0.0,112.6,1,,,,,2,1,per-start,105,2,0,1,1,2415,0.014,1.0,4088,120,4208,8295,3,1,0.0,0.0,0.287,0.39,0.278,391,1975,440,8400,105.01,0.001,0.002,0.008,104.983,0.0,0.0
battery-n50,50,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,7,1,,0,0,False,0.0,112.6,1,,,,,3,1,per-start,105,2,0,1,1,2415,0.014,1.0,4088,120,4208,8295,3,1,0.0,0.0,0.287,0.39,0.278,391,1975,440,8400,105.02,0.001,0.002,0.008,104.988,0.0,0.0
battery-n100,100,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,8,1,,1,0,False,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3994,0.975,1.0,102,7895,7997,8099,3,4,0.017,3.0,0.25,0.74,0.556,1534,2601,1393,2400,120.06,0.003,0.007,0.022,119.979,0.0,0.0
battery-n100,100,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,8,1,,1,0,False,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3950,0.969,1.0,124,7851,7975,8099,4,3,0.017,3.0,0.248,0.738,0.556,1490,2601,1349,2400,120.04,0.003,0.007,0.02,119.98,0.0,0.0
battery-n100,100,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,8,1,,1,0,False,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3847,0.993,1.0,28,7895,7924,7952,3,4,0.017,3.0,0.243,0.734,0.556,1387,2601,1246,2400,120.04,0.003,0.008,0.02,119.98,0.0,0.0
battery-n200,200,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,9,1,,1,0,False,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7562,0.903,0.927,300,7544,7830,8359,15,9,0.191,21.5,0.24,0.731,0.556,4084,4541,3021,4800,120.09,0.01,0.026,0.06,119.941,0.001,0.0
battery-n200,200,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,9,1,,1,0,False,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7839,0.923,0.933,260,7670,7930,8308,14,13,0.194,10.25,0.246,0.737,0.556,4361,4541,3298,4800,120.09,0.009,0.025,0.059,119.942,0.001,0.0
battery-n200,200,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,9,1,,1,0,False,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7643,0.894,0.911,398,7445,7936,8326,13,12,0.217,15.0,0.242,0.732,0.556,4165,4541,3102,4801,120.09,0.01,0.026,0.063,119.937,0.001,0.0
battery-n400,400,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,13,1,,1,0,False,0.0,46.7,1,,,,,1,1,per-start,120,7,0,0,0,13789,0.962,0.977,118,8591,8895,8927,13,14,0.398,38.0,0.223,0.817,0.635,8271,7314,6475,3360,120.17,0.038,0.103,0.209,119.718,0.002,0.0
battery-n400,400,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,13,1,,1,0,False,0.0,46.7,1,,,,,2,1,per-start,120,7,0,0,0,13673,0.972,0.988,73,8655,8832,8900,18,14,0.466,79.29,0.222,0.816,0.635,8155,7314,6359,3720,120.26,0.036,0.102,0.203,119.797,0.002,0.0
battery-n400,400,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,13,1,,0,0,False,0.0,46.7,1,,,,,3,1,per-start,120,8,0,0,0,12776,0.852,0.858,422,7192,7438,8445,21,19,0.295,25.25,0.21,0.704,0.556,7273,7178,5598,9600,120.24,0.037,0.103,0.195,119.804,0.002,0.0
battery-n800,800,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,20,1,,1,0,False,0.0,35.4,1,,,,,1,1,per-start,120,12,0,0,0,19164,0.844,0.845,531,8999,9417,10658,20,17,0.522,52.25,0.166,0.888,0.741,10201,12392,6772,480,120.8,0.173,0.415,0.726,119.274,0.003,0.0
battery-n800,800,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,20,1,,1,0,False,0.0,35.4,1,,,,,2,1,per-start,120,12,0,0,0,19988,0.833,0.834,530,8954,9634,10750,48,29,0.321,55.33,0.172,0.895,0.741,11025,12392,7596,1440,120.75,0.148,0.413,0.718,119.284,0.003,0.0
battery-n800,800,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,20,1,,1,0,False,0.0,35.4,1,,,,,3,1,per-start,120,12,0,0,0,19647,0.849,0.866,548,8841,9675,10418,16,15,0.381,61.58,0.17,0.892,0.741,10684,12392,7255,480,120.75,0.148,0.413,0.723,119.277,0.003,0.0
battery-n1000,1000,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,24,1,,1,0,False,0.0,34.7,1,,,,,1,1,per-start,120,15,0,0,0,27433,0.835,0.839,624,8937,9919,10698,62,46,0.552,126.73,0.186,0.91,0.741,16481,15438,11995,1080,121.15,0.238,0.65,1.084,118.917,0.004,0.0
battery-n1000,1000,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,24,1,,1,0,False,0.0,34.7,1,,,,,2,1,per-start,120,15,0,0,0,26648,0.848,0.85,526,9041,9739,10660,70,48,0.612,75.53,0.182,0.905,0.741,15696,15438,11210,960,121.16,0.243,0.667,1.122,118.88,0.004,0.0
battery-n1000,1000,exemptions,exempt-lower,spatial_term,exempt-lower,10000,midpoint,0,3,10000,,24,1,,1,0,False,0.0,34.7,1,,,,,3,1,per-start,120,15,0,0,0,26958,0.84,0.845,526,8960,9842,10669,47,40,0.4,50.87,0.183,0.907,0.741,16006,15438,11520,2041,121.14,0.234,0.647,1.099,118.918,0.004,0.0
