instance,n,axis,cell,strategy,balance_arm,span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n100,100,config,actual+reseq,spatial_term,actual,0,True,0.0,67.3,2,2,0,3944,0.969,127,2,0.02,3.0,0.247,0.738,0.556,1484,2400,120.04,0.004,0.007,0.023,119.976,0.001
battery-n100,100,config,actual+reseq,spatial_term,actual,0,True,0.0,67.3,3,2,0,3944,0.969,127,2,0.02,3.0,0.247,0.738,0.556,1484,2400,120.08,0.003,0.007,0.021,119.978,0.0
battery-n100,100,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,67.3,1,2,0,5961,1.0,2,4,0.065,5.0,0.332,0.831,0.556,3501,2400,120.11,0.004,0.012,0.028,119.995,0.001
battery-n100,100,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,67.3,2,2,0,5961,1.0,2,4,0.065,5.0,0.332,0.831,0.556,3501,2400,120.06,0.003,0.007,0.022,119.98,0.0
battery-n100,100,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,False,0.0,67.3,3,2,0,5961,1.0,2,4,0.065,5.0,0.332,0.831,0.556,3501,2400,120.04,0.003,0.007,0.022,119.978,0.0
battery-n100,100,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,67.3,1,2,0,4292,0.982,76,8,0.06,5.0,0.263,0.754,0.556,1832,2400,120.07,0.003,0.009,0.022,119.977,0.0
battery-n100,100,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,67.3,2,2,0,4292,0.982,76,8,0.06,5.0,0.263,0.754,0.556,1832,2400,120.04,0.003,0.007,0.021,119.979,0.0
battery-n100,100,config,upper-tmax-tmin9000+reseq,spatial_term,upper-tmax-tmin9000,0,True,0.0,67.3,3,2,0,4292,0.982,76,8,0.06,5.0,0.263,0.754,0.556,1832,2400,120.06,0.003,0.007,0.021,119.979,0.001
battery-n200,200,config,actual,spatial_term,actual,0,False,0.0,59.0,1,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.14,0.01,0.028,0.064,119.935,0.001
battery-n200,200,config,actual,spatial_term,actual,0,False,0.0,59.0,2,4,0,8254,0.832,617,2,0.128,15.75,0.256,0.747,0.556,4776,4800,120.08,0.009,0.025,0.061,119.939,0.001
