instance,n,axis,cell,strategy,balance_arm,span_coef,seed,k,drops,travel_sec,balance,sigma_t_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-n200,200,algo,greedy,greedy,actual,0,1,4,0,8842,0.068,4321,36,0.16,19.5,0.269,0.76,0.556,5364,7320,0.02,0.0,0.0,0.0,0.0,0.0
battery-n200,200,algo,greedy,greedy,actual,0,2,4,0,8842,0.068,4321,36,0.16,19.5,0.269,0.76,0.556,5364,7320,0.02,0.0,0.0,0.0,0.0,0.0
battery-n200,200,algo,greedy,greedy,actual,0,3,4,0,8842,0.068,4321,36,0.16,19.5,0.269,0.76,0.556,5364,7320,0.02,0.0,0.0,0.0,0.0,0.0
battery-n400,400,config,actual,spatial_term,actual,0,1,7,0,14557,0.987,43,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.25,0.038,0.103,0.209,119.79,0.002
battery-n400,400,config,actual,spatial_term,actual,0,2,7,0,14557,0.987,43,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.23,0.036,0.106,0.204,119.796,0.002
battery-n400,400,config,actual,spatial_term,actual,0,3,7,0,14557,0.987,43,2,0.446,48.71,0.233,0.828,0.635,9039,3600,120.24,0.035,0.121,0.203,119.795,0.002
battery-n400,400,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,1,6,0,13730,0.836,604,7,0.294,50.17,0.222,0.953,0.741,8198,960,120.23,0.036,0.104,0.202,119.798,0.002
battery-n400,400,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,2,6,0,13730,0.836,604,7,0.294,50.17,0.222,0.953,0.741,8198,960,120.24,0.036,0.103,0.204,119.796,0.002
battery-n400,400,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,3,6,0,13730,0.836,604,7,0.294,50.17,0.222,0.953,0.741,8198,960,120.23,0.036,0.104,0.203,119.797,0.002
battery-n400,400,config,tmin-scaled,spatial_term,tmin-scaled,0,1,10,0,11992,0.559,996,3,0.167,12.9,0.2,0.555,0.444,6517,24000,120.24,0.038,0.111,0.211,119.792,0.002
battery-n400,400,config,tmin-scaled,spatial_term,tmin-scaled,0,2,10,0,11992,0.559,996,3,0.167,12.9,0.2,0.555,0.444,6517,24000,120.22,0.036,0.104,0.2,119.8,0.002
battery-n400,400,config,tmin-scaled,spatial_term,tmin-scaled,0,3,10,0,11992,0.559,996,3,0.167,12.9,0.2,0.555,0.444,6517,24000,120.25,0.036,0.111,0.205,119.795,0.002
battery-n400,400,config,service-floor,spatial_term,service-floor,0,1,8,0,12916,0.636,980,7,0.368,20.62,0.212,0.705,0.556,7413,9840,120.23,0.04,0.103,0.203,119.796,0.002
battery-n400,400,config,service-floor,spatial_term,service-floor,0,2,8,0,12916,0.636,980,7,0.368,20.62,0.212,0.705,0.556,7413,9840,120.26,0.038,0.125,0.197,119.809,0.002
battery-n400,400,config,service-floor,spatial_term,service-floor,0,3,8,0,12916,0.636,980,7,0.368,20.62,0.212,0.705,0.556,7413,9840,120.27,0.035,0.108,0.201,119.841,0.002
battery-n400,400,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,1,10,0,11992,0.619,996,3,0.167,12.9,0.2,0.555,0.444,6517,24000,120.24,0.036,0.104,0.201,119.8,0.002
battery-n400,400,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,2,10,0,11992,0.619,996,3,0.167,12.9,0.2,0.555,0.444,6517,24000,120.23,0.036,0.103,0.207,119.794,0.002
battery-n400,400,config,tmin-scaled+exempt-last,spatial_term,tmin-scaled+exempt-last,0,3,10,0,11992,0.619,996,3,0.167,12.9,0.2,0.555,0.444,6517,24000,120.25,0.035,0.128,0.214,119.787,0.002
battery-n400,400,config,span-c100,spatial_term,actual,100,1,6,0,11330,0.877,481,18,0.469,21.17,0.191,0.916,0.741,5798,0,120.24,0.036,0.109,0.286,119.719,0.002
battery-n400,400,config,span-c100,spatial_term,actual,100,2,6,0,11330,0.877,481,18,0.469,21.17,0.191,0.916,0.741,5798,0,120.27,0.037,0.115,0.287,119.713,0.002
battery-n400,400,config,span-c100,spatial_term,actual,100,3,6,0,11330,0.877,481,18,0.469,21.17,0.191,0.916,0.741,5798,0,120.26,0.036,0.131,0.277,119.724,0.002
battery-n400,400,algo,global,global,actual,0,1,7,0,11640,0.828,492,26,0.374,31.43,0.195,0.789,0.635,6122,3120,120.15,0.036,0.001,0.115,119.914,0.002
battery-n400,400,algo,global,global,actual,0,2,7,0,11640,0.828,492,26,0.374,31.43,0.195,0.789,0.635,6122,3120,120.13,0.036,0.001,0.108,119.89,0.002
battery-n400,400,algo,global,global,actual,0,3,7,0,11640,0.828,492,26,0.374,31.43,0.195,0.789,0.635,6122,3120,120.14,0.036,0.001,0.111,119.888,0.002
battery-n400,400,algo,greedy,greedy,actual,0,1,6,0,14388,0.888,491,55,0.33,52.0,0.231,0.963,0.741,8856,1680,0.03,0.0,0.0,0.0,0.0,0.0
battery-n400,400,algo,greedy,greedy,actual,0,2,6,0,14388,0.888,491,55,0.33,52.0,0.231,0.963,0.741,8856,1680,0.03,0.0,0.0,0.0,0.0,0.0
battery-n400,400,algo,greedy,greedy,actual,0,3,6,0,14388,0.888,491,55,0.33,52.0,0.231,0.963,0.741,8856,1680,0.03,0.0,0.0,0.0,0.0,0.0
battery-n800,800,config,actual,spatial_term,actual,0,1,12,0,19725,0.851,663,29,0.492,66.83,0.17,0.893,0.741,10762,1200,120.85,0.155,0.497,0.73,119.271,0.003
battery-n800,800,config,actual,spatial_term,actual,0,2,12,0,19767,0.851,624,28,0.492,66.83,0.171,0.893,0.741,10804,1200,120.85,0.145,0.529,0.721,119.279,0.003
battery-n800,800,config,actual,spatial_term,actual,0,3,12,0,19719,0.851,662,29,0.492,66.83,0.17,0.893,0.741,10756,1200,120.78,0.146,0.443,0.723,119.278,0.003
battery-n800,800,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,1,12,0,22400,0.839,562,5,0.476,63.42,0.189,0.914,0.741,13437,960,120.77,0.146,0.451,0.739,119.262,0.003
battery-n800,800,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,2,12,0,22400,0.839,562,5,0.476,63.42,0.189,0.914,0.741,13437,960,120.76,0.146,0.417,0.729,119.272,0.003
battery-n800,800,config,upper-tmax-tmin9000,spatial_term,upper-tmax-tmin9000,0,3,12,0,22400,0.839,562,5,0.476,63.42,0.189,0.914,0.741,13437,960,120.8,0.156,0.417,0.713,119.337,0.003
battery-n800,800,config,tmin-scaled,spatial_term,tmin-scaled,0,1,14,0,25532,0.708,1037,90,0.612,102.79,0.21,0.804,0.635,16592,8520,120.85,0.147,0.505,0.71,119.293,0.003
battery-n800,800,config,tmin-scaled,spatial_term,tmin-scaled,0,2,14,0,25664,0.708,1102,80,0.612,111.93,0.211,0.805,0.635,16724,9000,120.77,0.147,0.426,0.762,119.241,0.005
battery-n800,800,config,tmin-scaled,spatial_term,tmin-scaled,0,3,14,0,25664,0.708,1102,80,0.612,111.93,0.211,0.805,0.635,16724,9000,120.91,0.168,0.514,0.793,119.21,0.003
