instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,max_vehicles,exempt_lower_vehicle,exempt_upper_vehicle,exempt_vehicles_inactive,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,short_routes,travel_sec,balance,balance_excl_min,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,2,1,per-start,105,2,0,0,0,4729,0.928,1.0,200,5165,5364,5564,5,0,0.2,16.5,0.441,0.496,0.278,2705,1975,2754,8400,105.03,0.001,0.002,0.009,104.992,0.0,0.0
battery-n50,50,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,7,,,0,0,True,0.0,112.6,1,,,,,3,1,per-start,105,2,0,0,0,4359,0.992,1.0,20,5159,5180,5200,4,2,0.19,10.5,0.421,0.479,0.278,2335,1975,2384,8400,105.13,0.001,0.002,0.009,105.069,0.002,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,1,1,per-start,120,2,0,0,0,3994,0.975,1.0,102,7895,7997,8099,3,4,0.02,3.0,0.25,0.74,0.556,1534,2601,1393,2400,120.32,0.003,0.008,0.023,119.981,0.001,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,2,1,per-start,120,2,0,0,0,3811,0.835,1.0,710,7196,7906,8615,3,3,0.05,5.0,0.241,0.732,0.556,1351,2601,1210,2400,120.06,0.004,0.009,0.023,119.981,0.001,0.0
battery-n100,100,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,8,,,0,0,True,0.0,67.3,1,,,,,3,1,per-start,120,2,0,0,0,3847,0.993,1.0,28,7895,7924,7952,3,4,0.02,3.0,0.243,0.734,0.556,1387,2601,1246,2400,120.08,0.004,0.007,0.021,119.981,0.001,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,1,1,per-start,120,4,0,0,0,7562,0.903,0.927,300,7544,7830,8359,15,9,0.19,21.5,0.24,0.731,0.556,4084,4541,3021,4800,120.21,0.017,0.026,0.066,119.937,0.004,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,2,1,per-start,120,4,0,0,0,7771,0.873,0.897,456,7395,7953,8470,14,14,0.24,29.75,0.245,0.736,0.556,4293,4541,3230,4800,120.19,0.013,0.026,0.064,119.941,0.007,0.0
battery-n200,200,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,9,,,0,0,True,0.0,59.0,1,,,,,3,1,per-start,120,4,0,0,0,7643,0.894,0.911,398,7445,7936,8327,13,12,0.22,15.0,0.242,0.732,0.556,4165,4541,3102,4800,120.21,0.012,0.031,0.069,119.935,0.005,0.0
battery-n400,400,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,True,0.0,46.7,1,,,,,1,1,per-start,120,7,0,0,0,13789,0.962,0.977,118,8591,8895,8927,13,14,0.4,38.0,0.223,0.817,0.635,8271,7314,6475,3360,120.42,0.041,0.108,0.217,119.787,0.003,0.0
battery-n400,400,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,True,0.0,46.7,1,,,,,2,1,per-start,120,7,0,0,0,13673,0.972,0.988,73,8655,8832,8900,18,14,0.47,79.29,0.222,0.816,0.635,8155,7314,6359,3720,120.72,0.046,0.103,0.216,119.792,0.007,0.0
battery-n400,400,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,13,,,0,0,True,0.0,46.7,1,,,,,3,1,per-start,120,6,0,0,0,11940,0.86,0.922,497,9034,10187,10500,20,18,0.61,19.83,0.199,0.925,0.741,6408,7477,4463,0,120.76,0.088,0.108,0.24,119.765,0.003,0.0
battery-n800,800,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,20,,,0,0,True,0.0,35.4,1,,,,,1,1,per-start,120,12,0,0,0,19257,0.854,0.854,501,8999,9530,10542,21,19,0.52,52.0,0.167,0.889,0.741,10294,12392,6865,480,121.26,0.292,0.485,0.813,119.192,0.005,0.0
battery-n800,800,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,20,,,0,0,True,0.0,35.4,1,,,,,2,1,per-start,120,12,0,0,0,20020,0.832,0.833,556,8944,9634,10750,53,32,0.32,55.33,0.173,0.895,0.741,11057,12392,7628,1560,121.47,0.258,0.472,0.786,119.232,0.033,0.0
battery-n800,800,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,20,,,0,0,True,0.0,35.4,1,,,,,3,1,per-start,120,12,0,0,0,19663,0.848,0.866,547,8834,9675,10418,16,16,0.38,61.58,0.17,0.892,0.741,10700,12392,7271,480,121.46,0.211,0.418,0.805,119.209,0.007,0.0
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,1,1,per-start,120,15,0,0,0,27429,0.835,0.838,625,8937,9919,10698,61,47,0.55,126.73,0.186,0.91,0.741,16477,15438,11991,1080,121.86,0.311,0.871,1.266,118.741,0.01,0.0
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,2,1,per-start,120,15,0,0,0,26219,0.838,0.844,662,8979,9460,10711,67,45,0.49,91.93,0.179,0.903,0.741,15267,15438,10781,1680,121.52,0.317,0.678,1.206,118.803,0.014,0.0
battery-n1000,1000,config,actual,spatial_term,actual,10000,midpoint,0,3,10000,,24,,,0,0,True,0.0,34.7,1,,,,,3,1,per-start,120,15,0,0,0,26992,0.84,0.845,517,8960,9842,10669,46,39,0.42,74.93,0.184,0.907,0.741,16040,15438,11554,1560,121.63,0.394,0.795,1.181,118.825,0.006,0.0
