instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,3,1,per-start,120,2,0,0,5738,1.0,0,7189,7189,7189,7,0.415,19.5,0.399,0.666,0.4,5207,914,4824,5760,240.05,0.002,0.004,0.002,120.019,0.0
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,4,1,per-start,120,2,0,0,5739,1.0,2,7188,7190,7191,10,0.326,7.0,0.399,0.666,0.4,5208,914,4825,5760,240.06,0.002,0.004,0.002,120.002,0.0
area-27-n72,72,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,cluster_first,5,1,per-start,120,2,0,0,5762,0.998,8,7193,7201,7209,8,0.647,27.0,0.4,0.667,0.4,5231,914,4848,5760,240.03,0.002,0.004,0.002,120.002,0.0
area-29-n43,43,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,cluster_first,1,1,per-start,94,1,0,0,2031,1.0,0,7191,7191,7191,4,0.0,0.0,0.282,0.666,0.478,1643,789,1242,2040,188.03,0.002,0.002,0.001,94.001,0.0
area-29-n43,43,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,cluster_first,2,1,per-start,94,1,0,0,2021,1.0,0,7181,7181,7181,1,0.0,0.0,0.281,0.665,0.478,1633,789,1232,2040,188.02,0.001,0.002,0.001,94.001,0.0
area-29-n43,43,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,cluster_first,3,1,per-start,94,1,0,0,2031,1.0,0,7191,7191,7191,4,0.0,0.0,0.282,0.666,0.478,1643,789,1242,2040,188.01,0.001,0.002,0.001,93.991,0.0
area-29-n43,43,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,cluster_first,4,1,per-start,94,1,0,0,2025,1.0,0,7185,7185,7185,6,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,188.02,0.001,0.001,0.001,94.001,0.0
area-29-n43,43,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,cluster_first,5,1,per-start,94,1,0,0,2025,1.0,0,7185,7185,7185,6,0.0,0.0,0.282,0.665,0.478,1637,789,1236,2040,188.02,0.001,0.002,0.001,94.001,0.0
reference-n1607,1607,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,cluster_first,1,1,per-start,120,34,14,0,66408,0.806,582,7177,7195,8907,376,0.613,49.38,0.258,0.701,0.521,39505,29939,,53644,243.09,0.68,1.838,0.062,120.012,0.006
reference-n1607,1607,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,cluster_first,2,1,per-start,120,35,3,0,78344,0.791,622,7182,7429,9077,449,0.824,81.06,0.289,0.716,0.509,51459,29849,,59761,243.0,0.694,1.784,0.054,120.011,0.007
reference-n1607,1607,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,cluster_first,3,1,per-start,120,36,1,0,77365,0.8,547,7178,7204,8977,336,0.641,25.19,0.286,0.695,0.496,50497,29758,,67201,243.06,0.641,1.889,0.058,120.028,0.006
reference-n1607,1607,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,cluster_first,4,1,per-start,120,34,1,0,71400,0.801,632,7181,7582,8968,172,0.532,39.03,0.27,0.719,0.525,44497,29939,,53640,244.0,0.642,1.832,0.053,120.012,0.006
reference-n1607,1607,config,warm-cluster,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,cluster_first,5,1,per-start,120,35,29,0,72278,0.8,523,7176,7195,8972,376,0.775,36.69,0.276,0.692,0.501,45393,29849,,63121,243.01,0.702,1.795,0.053,120.011,0.006
