instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,arc_coef,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n800,800,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,1,,,,,2,1,per-start,120,12,0,0,20036,0.834,527,8970,9634,10750,50,29,0.321,55.33,0.173,0.895,0.741,11073,12392,7644,1440,120.73,0.147,0.422,0.698,119.316,0.003,0.0025
battery-n800,800,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,1,,,,,3,1,per-start,120,12,0,0,19771,0.86,534,8964,9675,10418,14,18,0.381,61.58,0.171,0.893,0.741,10808,12392,7379,480,120.73,0.149,0.42,0.717,119.286,0.003,0.0063
battery-n800,800,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,3,,,,,1,1,per-start,120,12,0,0,19304,0.837,614,8978,9301,10731,30,18,0.584,62.67,0.167,0.89,0.741,10341,12392,6912,480,120.71,0.146,0.416,0.758,119.244,0.003,0.001
battery-n800,800,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,3,,,,,2,1,per-start,120,12,0,0,20217,0.85,575,9012,9610,10606,38,31,0.403,81.25,0.174,0.897,0.741,11254,12392,7825,600,120.72,0.143,0.412,0.73,119.272,0.004,0.0019
battery-n800,800,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,3,,,,,3,1,per-start,120,12,0,0,19969,0.864,519,8988,9757,10407,19,8,0.474,86.75,0.172,0.895,0.741,11006,12392,7577,480,120.71,0.146,0.419,0.743,119.26,0.003,0.0014
battery-n800,800,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,10,,,,,1,1,per-start,120,12,0,0,19775,0.838,552,8796,9916,10496,35,20,0.456,71.08,0.171,0.893,0.741,10812,12392,7383,960,120.73,0.146,0.413,0.752,119.254,0.004,0.0
battery-n800,800,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,10,,,,,2,1,per-start,120,12,0,0,20084,0.843,590,9060,9480,10753,24,25,0.437,92.33,0.173,0.896,0.741,11121,12392,7692,480,120.72,0.149,0.412,0.747,119.254,0.003,0.0012
battery-n800,800,arc-weight,arc-w10,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,10,,,,,3,1,per-start,120,12,0,0,20685,0.848,525,9074,9571,10702,21,13,0.767,88.58,0.177,0.9,0.741,11722,12392,8293,2160,120.71,0.15,0.418,0.72,119.281,0.003,0.0
battery-n800,800,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,30,,,,,1,1,per-start,120,12,0,0,18931,0.839,556,8986,9360,10714,35,32,0.465,61.58,0.165,0.887,0.741,9968,12392,6539,1321,120.75,0.146,0.413,0.725,119.305,0.003,0.0
battery-n800,800,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,30,,,,,2,1,per-start,120,12,0,0,21141,0.844,615,9090,9608,10776,28,30,0.553,105.92,0.18,0.904,0.741,12178,12392,8749,0,120.71,0.145,0.412,0.767,119.236,0.003,0.0009
battery-n800,800,arc-weight,arc-w30,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,35.4,30,,,,,3,1,per-start,120,12,0,0,20500,0.866,424,9024,9710,10420,22,15,0.588,83.58,0.176,0.899,0.741,11537,12392,8108,720,120.74,0.146,0.431,0.745,119.258,0.003,0.0
battery-n1000,1000,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,34.7,1,,,,,1,1,per-start,120,15,0,0,27894,0.837,635,8971,10019,10722,57,45,0.552,126.73,0.189,0.913,0.741,16942,15438,12456,1080,121.11,0.23,0.665,1.075,118.929,0.004,0.0166
battery-n1000,1000,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,34.7,1,,,,,2,1,per-start,120,15,0,0,27272,0.842,507,9062,9754,10767,86,51,0.612,72.47,0.185,0.909,0.741,16320,15438,11834,960,121.07,0.236,0.652,1.055,118.949,0.004,0.0275
battery-n1000,1000,arc-weight,arc-w1,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,34.7,1,,,,,3,1,per-start,120,15,0,0,27575,0.84,509,8969,9864,10681,62,46,0.418,74.93,0.187,0.911,0.741,16623,15438,12137,1561,121.08,0.227,0.649,1.105,118.899,0.004,0.0212
battery-n1000,1000,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,34.7,3,,,,,1,1,per-start,120,14,0,0,23960,0.876,449,9432,10380,10769,48,29,0.487,100.57,0.166,0.952,0.794,12997,15529,8431,0,121.11,0.23,0.645,1.106,118.897,0.005,0.0001
battery-n1000,1000,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,34.7,3,,,,,2,1,per-start,120,14,0,0,23393,0.865,424,9260,10311,10707,36,34,0.389,80.86,0.163,0.948,0.794,12430,15529,7864,0,121.12,0.25,0.655,1.091,118.912,0.004,0.002
battery-n1000,1000,arc-weight,arc-w3,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,34.7,3,,,,,3,1,per-start,120,15,0,0,25868,0.84,610,8874,9632,10564,34,30,0.469,84.93,0.177,0.9,0.741,14916,15438,10430,840,121.09,0.246,0.651,1.099,118.914,0.004,0.0082
