instance,n,axis,cell,strategy,balance_arm,soft_lower_penalty,soft_upper_target,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings_chord,crossings_road,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec,two_opt_gap
battery-n100,100,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4295,0.968,134,8014,8148,8281,0,12,0.017,3.0,0.264,0.754,0.556,1835,2601,1694,2400,120.01,0.003,0.007,0.021,119.953,0.0,0.0699
battery-n100,100,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4079,0.828,758,7282,8040,8797,0,4,0.049,5.0,0.254,0.744,0.556,1619,2601,1478,2400,120.03,0.003,0.007,0.021,119.979,0.0,0.0656
battery-n100,100,factorial,floor100-mid,spatial_term,actual,100,midpoint,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4336,0.959,172,7996,8168,8340,1,12,0.017,3.0,0.265,0.756,0.556,1876,2601,1735,2400,120.04,0.003,0.007,0.021,119.981,0.0,0.1128
battery-n100,100,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,67.3,,,,,1,1,per-start,120,2,0,0,4289,0.967,136,8008,8144,8281,0,11,0.017,3.0,0.263,0.754,0.556,1829,2601,1688,2400,120.05,0.004,0.007,0.023,119.994,0.0,0.0791
battery-n100,100,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,67.3,,,,,2,1,per-start,120,2,0,0,4271,0.965,146,7990,8136,8281,0,11,0.017,3.0,0.262,0.754,0.556,1811,2601,1670,2400,120.05,0.003,0.007,0.021,119.991,0.0,0.0766
battery-n100,100,factorial,floor100-tmax,spatial_term,actual,100,tmax,0,3,10000,,0,False,0.0,67.3,,,,,3,1,per-start,120,2,0,0,4292,0.967,138,8008,8146,8283,3,11,0.017,3.0,0.263,0.754,0.556,1832,2601,1691,2401,120.04,0.003,0.007,0.021,119.98,0.0,0.081
battery-n200,200,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,8002,0.903,301,7585,8010,8396,0,7,0.191,21.5,0.25,0.741,0.556,4524,4541,3461,4801,120.08,0.01,0.029,0.061,119.939,0.001,0.0549
battery-n200,200,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,2,1,per-start,120,4,0,0,8298,0.882,405,7550,8095,8558,2,10,0.238,29.75,0.257,0.748,0.556,4820,4541,3757,4800,120.07,0.009,0.029,0.061,119.933,0.001,0.0635
battery-n200,200,factorial,floor10000-mid,spatial_term,actual,10000,midpoint,0,3,10000,,0,False,0.0,59.0,,,,,3,1,per-start,120,4,0,0,8332,0.869,498,7500,8103,8626,1,18,0.217,15.0,0.258,0.748,0.556,4854,4541,3791,4800,120.05,0.011,0.027,0.063,119.908,0.001,0.0827
battery-n200,200,factorial,floor10000-tmax,spatial_term,actual,10000,tmax,0,3,10000,,0,False,0.0,59.0,,,,,1,1,per-start,120,4,0,0,7801,0.87,393,7433,7914,8539,3,12,0.079,9.0,0.245,0.736,0.556,4323,4541,3260,4800,120.11,0.01,0.029,0.06,119.941,0.001,0.1034
