instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,48.1,3,3,0,0,4277,0.794,759,6935,7444,8738,0,0.034,3.67,0.185,0.713,0.581,1894,3618,659,2760,120.07,0.007,0.02,0.052,119.949,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,48.1,4,3,0,0,4376,0.833,591,6928,7967,8321,0,0.048,4.0,0.188,0.716,0.581,1993,3618,758,2760,120.08,0.008,0.028,0.051,119.951,0.001
area-26-n157,157,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,48.1,5,3,0,0,4272,0.793,760,6933,7441,8738,0,0.034,3.67,0.185,0.713,0.581,1889,3618,654,2760,120.09,0.007,0.026,0.054,119.949,0.001
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,29.8,1,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.04,0.002,0.005,0.017,119.984,0.001
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,29.8,2,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.05,0.004,0.007,0.018,119.984,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,29.8,3,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.03,0.002,0.005,0.018,119.973,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,29.8,4,1,0,0,1502,1.0,0,10142,10142,10142,0,0.0,0.0,0.148,0.939,0.8,963,1303,199,0,120.03,0.002,0.004,0.015,119.986,0.0
area-27-n72,72,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,29.8,5,1,0,0,1481,1.0,0,10121,10121,10121,0,0.0,0.0,0.146,0.937,0.8,942,1303,178,0,120.03,0.002,0.005,0.019,119.982,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.02,0.001,0.002,0.007,93.995,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,27.6,2,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.004,0.004,0.007,93.993,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,27.6,3,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.002,0.008,93.993,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,27.6,4,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.002,0.008,93.993,0.0
area-29-n43,43,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,27.6,5,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,789,210,2040,94.03,0.001,0.002,0.009,93.993,0.0
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,44.1,1,25,0,0,64723,0.854,472,9193,10450,10767,20,0.519,120.08,0.251,0.954,0.714,37667,30823,33900,9120,123.54,0.834,2.202,3.475,116.531,0.008
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,44.1,2,25,0,0,62683,0.685,859,7367,10575,10758,31,0.486,74.68,0.245,0.946,0.714,35627,30823,31860,11280,123.55,0.784,2.266,3.541,116.492,0.007
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,44.1,3,25,0,1,61777,0.788,708,8475,10599,10749,25,0.44,84.68,0.243,0.943,0.714,34721,30823,30954,11040,123.52,0.84,2.193,3.369,116.638,0.008
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,44.1,4,25,0,0,61860,0.812,598,8731,10388,10749,19,0.574,94.96,0.243,0.943,0.714,34804,30823,31037,8041,123.49,0.77,2.215,3.681,116.326,0.009
reference-n1607,1607,config,feasible-floor-b095,spatial_term,feasible-floor-b095,0,3,10000,,0,False,0.0,44.1,5,25,0,0,62710,0.841,489,9014,10421,10720,17,0.38,143.96,0.245,0.946,0.714,35654,30823,31887,8760,123.57,0.817,2.177,3.43,116.577,0.008
