instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,4,3,per-start,120,6,0,0,15627,0.912,274,7220,7684,7919,0,0.181,17.33,0.342,0.704,0.463,7251,10927,4700,13200,360.38,0.018,0.18,0.386,359.677,0.005
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,4,3,per-start,120,9,0,0,21478,0.93,206,8957,8978,9632,10,0.475,60.78,0.264,0.838,0.617,12036,13401,8077,5161,298.21,0.079,0.763,1.404,295.774,0.009
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,4,3,per-start,120,3,0,0,4723,0.873,479,7177,8166,8220,0,0.311,19.0,0.2,0.727,0.581,2340,3618,1105,2760,360.01,0.008,0.081,0.242,359.516,0.016
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,4,3,per-start,120,2,0,0,5733,1.0,0,7186,7186,7187,6,0.609,22.0,0.399,0.665,0.4,5202,914,4819,5760,360.06,0.002,0.016,0.057,359.945,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,4,3,per-start,94,1,0,0,2032,1.0,0,7192,7192,7192,3,0.0,0.0,0.283,0.666,0.478,1644,789,1243,2040,282.03,0.001,0.007,0.028,281.975,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,4,3,per-start,120,25,0,0,59926,0.857,444,9218,10175,10750,76,0.454,77.68,0.237,0.936,0.714,32870,30823,29103,10560,370.04,0.949,8.261,12.873,347.13,0.033
battery-n50,50,config,actual,spatial_term,actual,0,3,,0,False,0.0,112.6,5,3,per-start,105,2,0,0,8420,0.997,12,7198,7210,7222,8,0.181,13.0,0.584,0.667,0.278,6396,1975,6445,8400,315.1,0.001,0.021,0.043,314.957,0.001
battery-n100,100,config,actual,spatial_term,actual,0,3,,0,False,0.0,67.3,5,3,per-start,120,2,0,0,4289,0.967,136,8008,8144,8281,0,0.017,3.0,0.263,0.754,0.556,1829,2601,1688,2400,360.08,0.004,0.03,0.094,359.908,0.002
battery-n200,200,config,actual,spatial_term,actual,0,3,,0,False,0.0,59.0,5,3,per-start,120,4,0,0,7825,0.87,445,7434,7925,8541,3,0.065,2.75,0.246,0.736,0.556,4347,4541,3284,4800,360.14,0.013,0.117,0.289,359.636,0.003
battery-n400,400,config,actual,spatial_term,actual,0,3,,0,False,0.0,46.7,5,3,per-start,120,7,0,0,14159,0.983,50,8809,8883,8965,3,0.357,90.43,0.228,0.822,0.635,8641,7314,6845,3120,360.68,0.056,0.482,0.98,359.021,0.007
battery-n800,800,config,actual,spatial_term,actual,0,3,,0,False,0.0,35.4,5,3,per-start,120,12,0,0,20834,0.849,540,9052,9634,10664,52,0.277,69.83,0.178,0.902,0.741,11871,12392,8442,1800,260.5,0.223,2.123,3.69,254.159,0.014
battery-n1000,1000,config,actual,spatial_term,actual,0,3,,0,False,0.0,34.7,5,3,per-start,120,15,0,0,27517,0.838,705,8995,9525,10739,61,0.652,87.2,0.187,0.911,0.741,16565,15438,12079,240,210.92,0.342,3.276,5.614,201.319,0.018
battery-sparse-n250,250,config,actual,spatial_term,actual,0,3,,0,False,0.0,85.8,5,3,per-start,120,6,0,0,16238,0.863,389,7184,7745,8329,0,0.202,9.67,0.351,0.713,0.463,7862,10927,5311,13201,360.39,0.019,0.183,0.406,359.659,0.004
battery-sparse-n500,500,config,actual,spatial_term,actual,0,3,,0,False,0.0,56.9,5,3,per-start,120,9,0,0,22259,0.93,221,8966,9067,9645,12,0.41,65.22,0.271,0.846,0.617,12817,13401,8858,5400,298.22,0.077,0.76,1.434,295.77,0.009
area-26-n157,157,config,actual,spatial_term,actual,0,3,,0,False,0.0,48.1,5,3,per-start,120,3,0,0,4578,0.855,499,7178,7840,8399,1,0.048,4.0,0.195,0.723,0.581,2195,3618,960,2761,360.02,0.008,0.086,0.27,359.481,0.015
area-27-n72,72,config,actual,spatial_term,actual,0,3,,0,False,0.0,29.8,5,3,per-start,120,2,0,0,5735,1.0,0,7187,7188,7188,10,0.644,26.5,0.399,0.665,0.4,5204,914,4821,5760,360.06,0.002,0.016,0.063,359.938,0.002
area-29-n43,43,config,actual,spatial_term,actual,0,3,,0,False,0.0,27.6,5,3,per-start,94,1,0,0,2027,1.0,0,7187,7187,7187,7,0.0,0.0,0.282,0.665,0.478,1639,789,1238,2040,282.04,0.001,0.008,0.03,281.972,0.001
reference-n1607,1607,config,actual,spatial_term,actual,0,3,,0,False,0.0,44.1,5,3,per-start,120,25,0,0,60649,0.852,437,9158,10148,10749,93,0.475,149.44,0.239,0.939,0.714,33593,30823,29826,8040,369.92,0.913,8.197,13.491,346.521,0.027
