instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,seed,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-29-n43,43,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,94.02,0.001,0.002,0.008,93.992,0.0
reference-n1607,1607,config,feasible-floor-b070-stops10,spatial_term,feasible-floor-b070-stops10,0,3,,0,False,0.0,44.1,1,25,0,0,59174,0.716,801,7710,10409,10770,8,0.33,67.56,0.235,0.933,0.714,32118,10200,122.66,0.645,1.66,2.758,117.244,0.006
battery-n50,50,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,112.6,1,1,0,0,3419,1.0,0,9419,9419,9419,0,0.0,0.0,0.363,0.872,0.556,1352,1200,105.06,0.001,0.005,0.011,104.989,0.0
battery-n100,100,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,67.3,1,2,0,0,4173,0.66,1654,6433,8086,9740,0,0.03,5.0,0.258,0.749,0.556,1713,2400,120.04,0.003,0.007,0.023,119.975,0.0
battery-n200,200,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,59.0,1,4,0,0,8311,0.597,1724,6379,7619,10694,4,0.055,7.25,0.257,0.748,0.556,4833,6120,120.08,0.009,0.025,0.065,119.938,0.001
battery-n400,400,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,46.7,1,6,0,0,12984,0.82,725,8827,10539,10763,2,0.418,37.0,0.213,0.941,0.741,7452,960,120.23,0.037,0.102,0.209,119.791,0.002
battery-n800,800,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,35.4,1,12,0,0,21382,0.749,887,7918,10262,10568,5,0.339,37.67,0.182,0.906,0.741,12419,960,120.75,0.143,0.422,0.733,119.268,0.003
battery-n1000,1000,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,34.7,1,14,0,0,28305,0.948,176,10205,10656,10764,11,0.66,86.64,0.191,0.981,0.794,17342,0,121.09,0.222,0.639,1.109,118.892,0.004
battery-sparse-n250,250,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,85.8,1,5,0,0,14889,0.639,1346,6833,9295,10686,2,0.06,4.2,0.332,0.831,0.556,6479,6001,120.11,0.014,0.04,0.088,119.91,0.001
battery-sparse-n500,500,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,56.9,1,8,0,0,20935,0.812,611,8692,10196,10705,4,0.144,23.25,0.259,0.937,0.694,11473,1320,120.32,0.054,0.16,0.314,119.686,0.002
area-26-n157,157,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,48.1,1,3,0,0,4355,0.754,1049,6945,7036,9214,0,0.305,14.0,0.188,0.716,0.581,1972,2760,120.06,0.006,0.016,0.048,119.951,0.001
area-27-n72,72,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,29.8,1,1,0,0,1504,1.0,0,10144,10144,10144,0,0.0,0.0,0.148,0.939,0.8,965,0,120.02,0.002,0.004,0.016,119.983,0.0
area-29-n43,43,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,27.6,1,1,0,0,999,1.0,0,6159,6159,6159,0,0.0,0.0,0.162,0.57,0.478,611,2040,93.98,0.001,0.002,0.008,93.955,0.0
reference-n1607,1607,config,feasible-floor-b085-stops10,spatial_term,feasible-floor-b085-stops10,0,3,,0,False,0.0,44.1,1,25,0,0,60209,0.791,649,8505,10409,10753,12,0.524,66.64,0.238,0.937,0.714,33153,7440,122.6,0.575,1.661,2.716,117.286,0.006
