instance,n,axis,cell,strategy,balance_arm,span_coef,spatial_span_coef,stops_floor_penalty,max_vehicles_forced,time_global_span_coef,post_resequence,arc_lambda,arc_tau,cluster_neighbors,cluster_count,vehicles_per_cluster,warm_start,seed,starts,budget_mode,start_time_limit_sec,k,drops,degenerate_routes,travel_sec,balance,sigma_t_sec,dur_min_sec,dur_median_sec,dur_max_sec,crossings,worst_iou,interleave_per_route,walk_ratio,saturation_mean,sat_estimated,relleno_sec,msf_k_sec,relleno_msf_sec,deficit_sec,wall_clock_sec,t_osrm_sec,t_model_build_sec,t_first_solution_sec,t_metaheuristic_sec,t_extraction_sec
area-27-n72,72,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,greedy,1,1,per-start,120,2,0,0,5745,0.998,6,7186,7192,7199,5,0.591,18.0,0.399,0.666,0.4,5214,914,4831,5760,120.03,0.002,0.004,0.002,120.001,0.001
area-27-n72,72,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,greedy,2,1,per-start,120,2,0,0,5742,0.999,3,7188,7191,7194,4,0.427,14.5,0.399,0.666,0.4,5211,914,4828,5760,120.03,0.002,0.004,0.002,120.001,0.0
area-27-n72,72,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,greedy,3,1,per-start,120,2,0,0,5745,0.998,6,7186,7192,7199,5,0.591,18.0,0.399,0.666,0.4,5214,914,4831,5760,120.03,0.002,0.004,0.002,120.0,0.0
area-27-n72,72,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,greedy,4,1,per-start,120,2,0,0,5745,0.998,6,7186,7192,7199,5,0.591,18.0,0.399,0.666,0.4,5214,914,4831,5760,120.03,0.002,0.004,0.002,120.0,0.0
area-27-n72,72,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,29.8,,,,greedy,5,1,per-start,120,2,0,0,5742,0.999,3,7188,7191,7194,4,0.427,14.5,0.399,0.666,0.4,5211,914,4828,5760,120.06,0.002,0.004,0.002,120.03,0.001
area-29-n43,43,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,greedy,1,1,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,3,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,94.02,0.001,0.002,0.002,94.001,0.0
area-29-n43,43,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,greedy,2,1,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,3,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,94.02,0.001,0.002,0.001,94.001,0.0
area-29-n43,43,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,greedy,3,1,per-start,94,1,0,0,2023,1.0,0,7183,7183,7183,3,0.0,0.0,0.282,0.665,0.478,1635,789,1234,2040,94.02,0.001,0.002,0.001,94.0,0.0
area-29-n43,43,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,greedy,4,1,per-start,94,1,0,0,2022,1.0,0,7182,7182,7182,7,0.0,0.0,0.282,0.665,0.478,1634,789,1233,2040,94.02,0.001,0.002,0.001,94.0,0.0
area-29-n43,43,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,27.6,,,,greedy,5,1,per-start,94,1,0,0,2022,1.0,0,7182,7182,7182,3,0.0,0.0,0.282,0.665,0.478,1634,789,1233,2040,94.02,0.001,0.002,0.001,94.0,0.0
reference-n1607,1607,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,greedy,1,1,per-start,120,27,0,0,72650,0.835,660,8981,10028,10760,82,0.67,236.59,0.274,0.911,0.661,45628,30616,42034,13800,122.78,0.581,1.736,0.054,120.01,0.006
reference-n1607,1607,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,greedy,2,1,per-start,120,27,0,0,72654,0.835,644,8981,10028,10757,81,0.67,236.59,0.274,0.911,0.661,45632,30616,42038,13800,122.8,0.593,1.757,0.052,120.013,0.006
reference-n1607,1607,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,greedy,3,1,per-start,120,27,0,0,72650,0.835,660,8981,10028,10760,82,0.67,236.59,0.274,0.911,0.661,45628,30616,42034,13800,122.8,0.582,1.768,0.055,120.018,0.006
reference-n1607,1607,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,greedy,4,1,per-start,120,27,0,0,72650,0.835,660,8981,10028,10760,82,0.67,236.59,0.274,0.911,0.661,45628,30616,42034,13800,122.84,0.582,1.773,0.051,120.04,0.006
reference-n1607,1607,config,warm-greedy,spatial_term,actual,0,3,10000,,0,False,0.0,44.1,,,,greedy,5,1,per-start,120,27,0,0,72650,0.835,660,8981,10028,10760,82,0.67,236.59,0.274,0.911,0.661,45628,30616,42034,13800,122.8,0.573,1.776,0.052,120.011,0.006
