source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec,ub_k_sec,relleno_ub_sec
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-27-n72,72,feasible-floor-b095,2,1,1502,963,1303,199,1425,77
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-27-n72,72,feasible-floor-b095,3,1,1502,963,1303,199,1425,77
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-27-n72,72,feasible-floor-b095,4,1,1502,963,1303,199,1425,77
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-27-n72,72,feasible-floor-b095,5,1,1481,942,1303,178,1425,56
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-29-n43,43,feasible-floor-b095,1,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-29-n43,43,feasible-floor-b095,2,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-29-n43,43,feasible-floor-b095,3,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-29-n43,43,feasible-floor-b095,4,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,area-29-n43,43,feasible-floor-b095,5,1,999,611,789,210,955,44
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,reference-n1607,1607,feasible-floor-b095,1,25,60391,33335,30823,29568,39695,20696
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,reference-n1607,1607,feasible-floor-b095,2,25,58921,31865,30823,28098,39695,19226
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,reference-n1607,1607,feasible-floor-b095,3,25,59335,32279,30823,28512,39695,19640
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,reference-n1607,1607,feasible-floor-b095,4,25,61025,33969,30823,30202,39695,21330
sweep-metrology-20260720-h2h-feasible-floor-b095.csv,reference-n1607,1607,feasible-floor-b095,5,25,60184,33128,30823,29361,39695,20489
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n50,50,no-floor-stops10,1,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n50,50,no-floor-stops10,2,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n50,50,no-floor-stops10,3,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n50,50,no-floor-stops10,4,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n50,50,no-floor-stops10,5,1,3419,1352,2746,673,3266,153
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n100,100,no-floor-stops10,1,2,4291,1831,2601,1690,3239,1052
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n100,100,no-floor-stops10,2,2,4295,1835,2601,1694,3239,1056
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n100,100,no-floor-stops10,3,2,4280,1820,2601,1679,3239,1041
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n100,100,no-floor-stops10,4,2,4173,1713,2601,1572,3239,934
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n100,100,no-floor-stops10,5,2,4274,1814,2601,1673,3239,1035
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n200,200,no-floor-stops10,1,4,7812,4334,4541,3271,6202,1610
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n200,200,no-floor-stops10,2,4,8008,4530,4541,3467,6202,1806
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n200,200,no-floor-stops10,3,3,7956,4461,4730,3226,6416,1540
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n200,200,no-floor-stops10,4,4,7782,4304,4541,3241,6202,1580
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n200,200,no-floor-stops10,5,4,7798,4320,4541,3257,6202,1596
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n400,400,no-floor-stops10,1,6,13897,8365,7477,6420,10303,3594
sweep-metrology-20260720-h2h-no-floor-stops10.csv,battery-n400,400,no-floor-stops10,2,6,12852,7320,7477,5375,10303,2549
