source,instance,n,cell,seed,k,travel_sec,relleno_sec,msf_k_sec,relleno_msf_sec
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,service-floor,3,10,20613,11190,13285,7328
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,tmin-scaled+exempt-last,1,12,22135,12750,13055,9080
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,tmin-scaled+exempt-last,2,12,21998,12613,13055,8943
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,tmin-scaled+exempt-last,3,12,22013,12628,13055,8958
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,span-c100,1,8,19755,10293,13517,6238
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,span-c100,2,8,19755,10293,13517,6238
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,span-c100,3,8,19755,10293,13517,6238
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,global,1,8,19230,9768,13517,5713
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,global,2,8,19266,9804,13517,5749
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,global,3,8,19230,9768,13517,5713
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,greedy,1,8,23436,13974,13517,9919
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,greedy,2,8,23436,13974,13517,9919
route-config-algorithm-sweep-20260718.csv,battery-sparse-n500,500,greedy,3,8,23436,13974,13517,9919
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,actual,1,3,4962,2579,3618,1344
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,actual,2,3,4962,2579,3618,1344
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,actual,3,3,4962,2579,3618,1344
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,upper-tmax-tmin9000,1,3,8140,5757,3618,4522
route-config-algorithm-sweep-20260718.csv,area-26-n157,157,upper-tmax-tmin9000,2,3,8140,5757,3618,4522
